               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056709,           0.0070706,           0.0078421,             0.94599,             0.88204,             0.92887,             0.47864,            0.039047,           0.0048211,           0.0028246,             0.00475,             0.00475,             0.00475
                  37,            0.053636,           0.0067649,            0.006566,             0.96612,             0.87518,             0.92951,             0.48549,             0.03859,            0.004835,           0.0027553,              0.0046,              0.0046,              0.0046
                  38,            0.053497,           0.0067353,             0.00667,             0.96412,              0.8808,             0.93045,              0.4833,             0.03907,           0.0047944,           0.0029556,             0.00445,             0.00445,             0.00445
                  39,            0.052987,           0.0066185,           0.0065079,             0.95038,             0.89444,             0.92958,             0.47506,            0.039165,           0.0048125,           0.0030118,              0.0043,              0.0043,              0.0043
                  40,            0.053279,           0.0068391,            0.006492,             0.94549,             0.89249,             0.93099,             0.48841,            0.038251,           0.0047816,           0.0026363,             0.00415,             0.00415,             0.00415
                  41,            0.055059,           0.0068022,            0.007424,             0.95213,              0.8911,             0.93273,             0.47867,             0.03859,           0.0047645,           0.0026943,               0.004,               0.004,               0.004
                  42,            0.055406,           0.0068758,            0.007442,             0.94504,             0.90988,              0.9416,             0.49195,            0.038003,           0.0047647,           0.0025172,             0.00385,             0.00385,             0.00385
                  43,            0.053929,           0.0067601,           0.0070434,              0.9635,             0.88467,             0.93651,             0.48742,            0.038459,            0.004767,           0.0030134,              0.0037,              0.0037,              0.0037
                  44,            0.053109,           0.0066412,            0.006706,             0.95476,             0.90021,             0.93937,             0.49136,            0.037869,           0.0047261,           0.0025398,             0.00355,             0.00355,             0.00355
                  45,             0.05276,           0.0065773,           0.0066735,             0.95625,              0.8977,             0.93942,             0.48653,            0.038513,           0.0047534,           0.0028012,              0.0034,              0.0034,              0.0034
                  46,            0.052534,             0.00665,           0.0066816,             0.95278,             0.88976,              0.9353,             0.49567,            0.037767,           0.0047226,           0.0028884,             0.00325,             0.00325,             0.00325
                  47,            0.054233,           0.0066817,           0.0072755,             0.94903,              0.9155,             0.94338,             0.50558,             0.03702,            0.004654,           0.0024935,              0.0031,              0.0031,              0.0031
                  48,            0.050122,           0.0064765,           0.0056259,             0.95433,             0.90677,             0.93813,             0.50115,            0.037213,           0.0047625,           0.0023833,             0.00295,             0.00295,             0.00295
                  49,            0.050145,            0.006439,           0.0056784,             0.94536,             0.90951,              0.9377,             0.50047,            0.037503,            0.004691,           0.0023673,              0.0028,              0.0028,              0.0028
                  50,             0.04957,           0.0063454,           0.0053998,              0.9447,             0.90707,             0.93815,             0.50152,            0.037558,           0.0046622,           0.0026897,             0.00265,             0.00265,             0.00265
                  51,            0.049933,           0.0065362,           0.0054488,             0.96189,             0.89828,             0.94152,             0.50845,            0.036774,           0.0046758,           0.0024846,              0.0025,              0.0025,              0.0025
                  52,            0.047175,           0.0062396,           0.0045651,             0.95803,             0.91497,             0.94453,             0.51562,            0.036229,           0.0046203,           0.0022516,             0.00235,             0.00235,             0.00235
                  53,            0.046899,           0.0061905,           0.0045718,             0.96136,             0.90778,             0.94168,             0.51272,             0.03671,           0.0046692,           0.0021468,              0.0022,              0.0022,              0.0022
                  54,            0.046615,           0.0061349,           0.0044627,              0.9519,             0.90841,             0.94008,             0.50877,            0.036921,           0.0046275,           0.0025687,             0.00205,             0.00205,             0.00205
                  55,            0.046885,           0.0063173,           0.0044746,             0.96091,             0.90088,             0.93803,             0.51413,            0.036791,            0.004671,            0.002571,              0.0019,              0.0019,              0.0019
                  56,            0.049969,            0.006407,           0.0056524,             0.95432,             0.90776,             0.94346,             0.50934,            0.036543,           0.0045936,           0.0024563,             0.00175,             0.00175,             0.00175
                  57,            0.050678,           0.0064759,           0.0058427,             0.95087,             0.91664,             0.94934,              0.5218,             0.03589,           0.0045397,           0.0023986,              0.0016,              0.0016,              0.0016
                  58,            0.049075,           0.0063452,           0.0055472,             0.95982,             0.90595,             0.94756,             0.51862,            0.035953,           0.0045435,           0.0023784,             0.00145,             0.00145,             0.00145
                  59,            0.048459,           0.0062388,           0.0052148,             0.95595,             0.91634,             0.95248,             0.52843,            0.035543,           0.0045156,           0.0021208,              0.0013,              0.0013,              0.0013
